T_translated,T_sample,DT_translated
242.5487615,245.719,0.686659752
243.925395,246.705,0.564412716
244.7110012,247.728,0.862657321
245.5407702,248.736,0.573650339
246.3921833,249.731,0.600388363
247.1353405,250.698,0.548778799
248.1616657,251.711,0.851107055
249.187385,252.708,0.386401926
250.0288306,253.74,0.505630913
250.8400876,254.712,0.535891778
251.6599717,255.717,0.641164244
252.8158172,256.725,0.726524041
253.9124026,257.722,0.660473125
254.60065,258.729,0.483467952
255.3705681,259.737,0.597119515
256.3204072,260.725,0.569612851
257.1019212,261.735,0.57559276
258.1017926,262.722,0.575615514
259.0660167,263.73,0.569628989
260.1889218,264.716,0.699256587
261.0471854,265.732,0.535535526
261.6719984,266.726,0.584886614
262.5345599,267.724,0.529592582
263.3478619,268.823,0.607274013
264.2485773,269.55,0.848956031
295.000,295.000,0
350.000,350.000,0
