T_sample,T_translated,DT_translated
122.728,123.7795464,0.210832758
123.73,124.7229172,0.221193877
124.719,125.8853676,0.272924739
125.726,126.9227675,0.244154319
126.726,128.0232266,0.261073509
127.724,129.0213843,0.18181829
128.723,130.0760504,0.273863848
129.723,131.1721487,0.2795728
130.727,132.1512852,0.367188557
131.722,133.2574189,0.358095289
132.715,134.247259,0.249179195
133.72,135.5529672,0.366642849
134.719,136.5137896,0.232551005
135.717,137.4905686,0.299364293
136.715,138.4806723,0.307059559
137.715,139.492893,0.268950033
138.72,140.6544239,0.331871684
139.719,141.5133808,0.256696286
140.733,142.4712098,0.307147557
141.715,143.4713848,0.258479322
142.717,144.4675329,0.239570056
143.716,145.3919636,0.216704524
144.719,146.4084364,0.138111027
145.712,147.4897099,0.271443799
146.713,148.3745124,0.220625726
147.719,149.4781806,0.295473844
148.712,150.4537374,0.250249393
149.715,151.3759205,0.250093062
150.713,152.3698181,0.342371296
151.717,153.2876191,0.287352641
152.716,154.2362447,0.25001694
153.718,155.2279513,0.290485892
154.719,156.2149463,0.267547874
155.717,157.2067873,0.183945338
156.72,158.190674,0.244555095
157.719,159.2059481,0.311048305
158.716,160.1465462,0.276334914
159.719,161.1444065,0.265230633
160.717,162.0964909,0.353690345
161.719,163.0282693,0.333123434
162.717,163.9700795,0.35767425
163.715,164.899073,0.400177895
164.714,165.9240052,0.37044407
165.716,166.9288757,0.354482519
166.718,167.9644747,0.32934559
167.718,168.8098802,0.373433535
168.717,169.8591946,0.320475976
169.715,170.8174378,0.337583828
170.719,171.8131281,0.506732295
171.714,172.7280681,0.475467152
172.717,173.8133754,0.384983726
173.714,174.7817669,0.412968144
174.711,175.6134184,0.417508619
175.719,176.695275,0.495172233
176.719,177.5789468,0.437699058
177.71,178.5348515,0.44757318
178.714,179.5934873,0.472237811
179.714,180.5479415,0.397215273
180.718,181.5599625,0.405799474
181.717,182.4634591,0.382301915
182.712,183.3507217,0.393763977
183.713,184.4351519,0.415658403
184.717,185.263304,0.285426629
185.717,186.2658332,0.366210068
186.714,187.2635548,0.351526495
187.716,188.1680477,0.355342802
188.714,189.1800018,0.464526803
189.713,190.1279598,0.373414498
190.715,191.2557588,0.421440189
191.718,192.1448639,0.407601848
192.719,192.9735695,0.412932783
193.717,193.8405772,0.494087206
194.712,194.8232712,0.505993263
195.721,195.9287989,0.365987123
196.717,196.8034355,0.566823139
197.714,197.8822748,0.418178901
198.718,198.5269317,0.414572589
199.71,199.5644214,0.373362687
200.715,200.6826615,0.606002487
201.72,201.5741507,0.51619153
202.719,202.4289166,0.375707216
203.717,203.3019294,0.477195339
204.712,204.4961954,0.588468799
205.716,205.2539167,0.325109458
206.717,206.0529369,0.477141548
207.718,207.2448833,0.63490705
208.718,208.0500529,0.571183033
209.718,209.1301084,0.434918043
210.724,210.163603,0.563428206
211.74,210.9241348,0.518555
212.716,211.9732179,0.468481373
213.727,212.630367,0.605377454
214.709,214.1149146,0.419410791
215.713,214.7349551,0.926445797
216.727,215.7983381,0.898263632
217.722,216.9566114,0.508243821
218.719,217.6344376,0.459676412
219.721,218.5585036,0.681041696
220.723,219.6002772,0.588425128
221.731,220.6561149,0.516370396
222.716,221.4854292,0.499179728
223.718,222.4381291,0.679064697
224.718,223.2951598,0.359644262
225.714,224.2767389,0.376389948
226.723,225.2347592,0.482938411
227.71,225.9682304,0.398905269
228.723,226.8056054,0.639320547
229.71,227.9560122,0.417698778
230.713,228.6938616,0.516380269
231.714,229.8458342,0.559786793
232.719,230.5916445,0.526667398
233.717,231.7168765,0.754900923
234.729,232.4697351,0.489523809
235.722,233.6688008,0.790334633
236.734,234.3484049,0.527412716
237.726,235.3984357,0.605220884
238.732,236.3445398,0.470273063
239.703,237.3242252,0.543710949
240.714,238.1336793,0.415618276
241.722,239.0226247,0.552874048
242.727,239.7652982,0.803072871
243.716,240.8811486,0.621828099
244.717,241.8362399,0.648338892
245.719,242.5487615,0.686659752
246.705,243.925395,0.564412716
247.728,244.7110012,0.862657321
248.736,245.5407702,0.573650339
249.731,246.3921833,0.600388363
250.698,247.1353405,0.548778799
251.711,248.1616657,0.851107055
252.708,249.187385,0.386401926
253.74,250.0288306,0.505630913
254.712,250.8400876,0.535891778
255.717,251.6599717,0.641164244
256.725,252.8158172,0.726524041
257.722,253.9124026,0.660473125
258.729,254.60065,0.483467952
259.737,255.3705681,0.597119515
260.725,256.3204072,0.569612851
261.735,257.1019212,0.57559276
262.722,258.1017926,0.575615514
263.73,259.0660167,0.569628989
264.716,260.1889218,0.699256587
265.732,261.0471854,0.535535526
266.726,261.6719984,0.584886614
267.724,262.5345599,0.529592582
268.823,263.3478619,0.607274013
269.55,264.2485773,0.848956031
295.000,295.000,0
350.000,350.000,0
